Player,Team,Accurate Long Balls per 90,Successful Long Balls (%),Accurate Passes per 90,Pass Success (%),Big Chances Created,Total Assists,Big Chances Missed,Clean Sheets,Goals Conceded,Successful Dribbles per 90,Dribble Success Rate (%),Clearances per 90,Total Clearances,Expected Assists (xA),Actual Assists,Expected Assists per 90,Actual Assists per 90,Expected Goals (xG),Expected Goals on Target (xGOT),Expected Goals per 90,Fouls Committed per 90,Goals Conceded per 90,Total Goals Conceded,Total Goals,Interceptions per 90,Total Interceptions,Shots on Target per 90,Shot Accuracy (%),Blocks per 90,Total Blocks,Penalties Conceded,Total Matches,Penalties Won,Fouls Won per 90,FotMob Rating,Player of the Match Awards,Possessions Won in Final 3rd per 90,Possessions Won Midfield per 90,Saves per 90,Total Saves,Tackles per 90,Tackle Success Rate (%),Assists,Secondary Assists,Goals,Penalties,Chances Created,Chances Created per 90,Shots per 90,Yellow Cards,Minutes,Matches,Country,Shot Conversion Rate (%),Actual Goals,Goals per 90,Red Cards
Aaron Wan-Bissaka,Manchester United,0.7,31.7,34.9,82.9,1.0,2.0,,,,0.9,65.4,2.7,54.0,1.4,2.0,0.07,0.1,0.1,0.0,0.01,0.9,,,,2.1,41.0,0.1,33.3,0.8,15.0,1.0,22.0,,,7.03,1.0,0.3,1.8,,,1.3,59.5,2.0,1.4,,,12.0,0.6,0.2,4.0,1781,22,ENG,0.0,0.0,0.0,0.0
Abdoulaye Doucouré,Everton,0.6,48.6,23.2,78.5,4.0,2.0,10.0,,,0.9,54.3,0.6,18.0,1.5,2.0,0.05,0.1,8.8,8.8,0.3,1.8,,,7.0,0.5,15.0,0.8,48.9,0.1,3.0,1.0,32.0,,,7.01,0.0,0.9,2.1,,,0.9,62.8,2.0,1.5,7.0,0.0,34.0,1.2,1.6,7.0,2637,32,MLI,14.9,7.0,0.24,0.0
Adam Smith,Bournemouth,1.0,18.9,24.7,77.1,2.0,2.0,,,,0.2,33.3,2.0,49.0,1.7,2.0,0.07,0.1,0.1,,0.0,1.3,,,,0.9,21.0,,,0.5,11.0,2.0,28.0,,,6.71,0.0,0.1,1.3,,,1.0,62.2,2.0,1.7,,,17.0,0.7,0.1,6.0,2156,28,ENG,0.0,0.0,0.0,0.0
Adam Webster,Brighton and Hove Albion,,,,,,,,,,,,,,0.3,0.0,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.4,,,1143,15,ENG,,0.0,,0.0
Adam Wharton,Crystal Palace,,,,,5.0,3.0,,,,,,,,1.5,3.0,,,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.5,,,21.0,1.4,,,1305,16,ENG,,0.0,,0.0
Albert Sambi Lokonga,Luton Town,,,,,2.0,3.0,,,,,,,,0.8,3.0,,,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.8,1.0,0.0,9.0,0.6,,,1308,17,BEL,,1.0,,0.0
Alejandro Garnacho,Manchester United,0.7,45.2,23.2,79.4,6.0,4.0,7.0,,,1.7,43.2,0.4,12.0,2.9,4.0,0.1,0.1,8.7,7.0,0.3,0.7,,,7.0,0.6,18.0,1.0,28.0,0.1,2.0,,,2.0,1.9,7.09,2.0,0.7,1.4,,,0.5,68.2,4.0,2.9,7.0,0.0,46.0,1.6,3.5,4.0,2573,36,ARG,7.0,7.0,0.24,0.0
Alex Iwobi,Fulham,1.5,48.8,31.7,81.6,5.0,2.0,2.0,,,1.5,54.8,0.2,6.0,4.3,2.0,0.17,0.1,5.7,6.1,0.22,0.5,,,5.0,0.6,15.0,0.8,36.4,,,,,,,7.06,2.0,0.8,2.4,,,0.7,58.1,2.0,4.3,5.0,0.0,53.0,2.0,2.1,2.0,2342,32,NGA,9.1,5.0,0.19,0.0
Alex Scott,Bournemouth,1.3,51.7,31.2,81.0,4.0,1.0,,,,1.2,39.4,1.5,17.0,1.1,1.0,0.09,0.1,0.7,0.9,0.06,1.8,,,1.0,1.1,12.0,0.4,26.7,0.4,4.0,,,,,6.65,1.0,0.9,2.5,,,1.3,62.5,1.0,1.1,1.0,0.0,22.0,2.0,1.3,3.0,1010,23,ENG,6.7,1.0,0.09,0.0
Alexander Isak,Newcastle United,0.4,66.7,15.1,80.0,5.0,2.0,21.0,,,1.7,60.0,0.5,12.0,2.8,2.0,0.11,0.1,20.3,22.8,0.81,0.6,,,21.0,0.2,6.0,1.7,55.1,0.0,1.0,,,1.0,0.6,7.37,4.0,0.5,0.8,,,,,2.0,2.8,21.0,5.0,27.0,1.1,3.1,1.0,2265,30,SWE,26.9,21.0,0.83,0.0
Alexis Mac Allister,Liverpool,2.1,57.5,58.4,87.8,3.0,5.0,2.0,,,0.6,60.0,0.9,25.0,4.9,5.0,0.17,0.2,3.7,4.4,0.13,1.8,,,5.0,1.2,35.0,0.3,20.5,0.3,8.0,,,,,7.51,3.0,0.8,3.4,,,1.9,55.6,5.0,4.9,5.0,1.0,47.0,1.6,1.5,7.0,2609,33,ARG,11.4,5.0,0.17,1.0
Alfie Doughty,Luton Town,2.0,39.1,25.1,75.2,10.0,8.0,2.0,,,1.0,57.9,1.1,36.0,5.4,8.0,0.17,0.2,1.3,1.6,0.04,0.9,,,2.0,0.9,31.0,0.2,30.8,0.3,9.0,,,,,7.16,2.0,0.3,1.8,,,1.2,63.5,8.0,5.4,2.0,0.0,70.0,2.1,0.8,5.0,2937,37,ENG,7.7,2.0,0.06,0.0
Alisson Becker,Liverpool,,,30.3,85.1,,,,8.0,30.0,,,0.8,21.0,0.0,0.0,0.0,0.0,,,,0.0,1.1,30.0,,,,,,,,,,,,6.7,0.0,,,3.0,83.0,,,,,,,1.0,0.0,,1.0,2520,28,BRA,,,,0.0
Alphonse Areola,West Ham United,,,14.2,59.3,,,,4.0,53.0,0.0,100.0,0.9,27.0,0.0,0.0,0.0,0.0,,,,0.1,1.8,53.0,,0.0,1.0,,,,,2.0,31.0,,,6.94,4.0,,,4.6,138.0,0.0,100.0,,,,,,,,1.0,2699,31,FRA,,,,0.0
Amadou Onana,Everton,2.6,70.9,37.4,84.9,4.0,0.0,1.0,,,0.5,60.0,1.3,30.0,1.4,0.0,0.06,0.0,2.0,0.8,0.09,1.6,,,2.0,0.9,21.0,0.3,20.7,0.3,6.0,1.0,30.0,,,7.04,1.0,0.7,3.6,,,1.6,53.5,,,2.0,0.0,18.0,0.8,1.2,5.0,2090,30,BEL,6.9,2.0,0.09,0.0
Amari'i Bell,Luton Town,1.5,31.5,32.8,79.6,,,1.0,,,0.5,40.0,2.9,55.0,0.5,0.0,0.03,0.0,0.3,0.8,0.01,1.1,,,,1.3,25.0,0.1,100.0,0.8,15.0,,,,,6.58,0.0,0.2,1.8,,,1.7,66.0,,,,,8.0,0.4,0.1,0.0,1722,21,JAM,0.0,0.0,0.0,
Ameen Al Dakhil,Burnley,,,,,,,,,,,,,,0.6,0.0,,,1.3,1.4,,,,,,,,,,,,1.0,13.0,,,,,,,,,,,,,1.0,0.0,2.0,0.2,,,1055,13,BEL,,1.0,,0.0
Andre Brooks,Sheffield United,0.3,14.3,18.2,77.0,,,1.0,,,1.1,52.2,1.3,14.0,0.3,0.0,0.03,0.0,0.4,0.1,0.04,1.1,,,,1.3,14.0,0.2,22.2,0.1,1.0,,,,,6.33,0.0,0.4,2.5,,,1.2,59.1,,,,,3.0,0.3,0.9,1.0,942,20,ENG,0.0,0.0,0.0,0.0
Andre Onana,Manchester United,,,25.4,70.4,,,,9.0,58.0,0.0,100.0,0.6,24.0,0.1,0.0,0.0,0.0,,,,0.0,1.5,58.0,,,,,,,,1.0,38.0,,,6.86,2.0,,,3.9,149.0,,,,,,,3.0,0.1,,5.0,3420,38,CMR,,,,0.0
Andreas Pereira,Fulham,1.7,46.7,28.6,78.8,9.0,7.0,3.0,,,0.6,46.3,0.4,11.0,5.7,7.0,0.19,0.2,4.6,4.4,0.16,0.8,,,3.0,0.1,4.0,0.5,30.8,0.1,2.0,,,,,6.89,2.0,0.8,1.6,,,0.4,48.0,7.0,5.7,3.0,0.0,84.0,2.9,1.8,6.0,2637,37,BRA,5.8,3.0,0.1,0.0
Andrew Robertson,Liverpool,2.5,49.0,58.1,87.7,10.0,2.0,,,,0.3,29.4,1.8,34.0,4.4,2.0,0.23,0.1,1.9,2.1,0.1,0.5,,,3.0,0.7,13.0,0.4,58.3,0.3,6.0,,,,,7.48,0.0,0.2,2.1,,,1.3,68.6,2.0,4.4,3.0,0.0,62.0,3.3,0.6,2.0,1691,23,SCO,25.0,3.0,0.16,0.0
Andros Townsend,Luton Town,1.1,42.9,20.8,80.2,2.0,3.0,,,,1.2,53.3,0.7,9.0,1.8,3.0,0.13,0.2,1.2,1.9,0.09,1.0,,,1.0,0.4,5.0,0.5,35.0,,,,,,,6.55,0.0,1.2,1.5,,,1.0,61.9,3.0,1.8,1.0,0.0,18.0,1.3,1.5,1.0,1209,27,ENG,5.0,1.0,0.07,0.0
Anel Ahmedhodzic,Sheffield United,1.6,31.5,24.5,75.6,1.0,0.0,4.0,,,0.4,55.0,4.6,134.0,0.6,0.0,0.02,0.0,3.2,2.0,0.11,1.2,,,2.0,1.2,34.0,0.2,26.3,0.9,26.0,,,,,6.19,0.0,0.0,1.1,,,1.2,56.3,,,2.0,0.0,7.0,0.2,0.6,9.0,2649,31,BIH,10.5,2.0,0.07,1.0
Anthony Elanga,Nottingham Forest,0.3,35.0,17.9,75.3,14.0,9.0,10.0,,,1.0,40.0,0.6,16.0,4.0,9.0,0.15,0.3,6.6,6.8,0.24,0.3,,,5.0,0.3,8.0,0.9,42.6,0.1,2.0,,,,,6.89,1.0,0.4,1.6,,,0.7,57.6,9.0,4.0,5.0,0.0,32.0,1.2,2.0,1.0,2434,36,SWE,9.3,5.0,0.18,0.0
Anthony Gordon,Newcastle United,0.9,56.9,23.4,81.8,16.0,10.0,9.0,,,1.7,48.6,0.1,4.0,5.6,10.0,0.17,0.3,10.2,9.1,0.32,1.2,,,11.0,0.2,7.0,1.0,38.3,,,,,6.0,2.1,7.51,3.0,0.9,1.4,,,1.1,61.8,10.0,5.6,11.0,1.0,57.0,1.8,2.5,10.0,2898,35,ENG,13.6,11.0,0.34,1.0
Antoine Semenyo,Bournemouth,0.6,45.5,18.6,74.3,6.0,2.0,5.0,,,2.1,47.6,0.9,20.0,2.3,2.0,0.1,0.1,4.6,6.0,0.2,1.8,,,8.0,0.3,6.0,1.3,44.3,0.1,2.0,,,1.0,1.0,6.88,1.0,0.7,2.3,,,0.7,70.8,2.0,2.3,8.0,0.0,29.0,1.2,3.0,6.0,2111,33,GHA,11.4,8.0,0.34,0.0
Antonee Robinson,Fulham,2.8,47.0,34.0,75.9,6.0,6.0,2.0,,,1.0,51.4,3.0,109.0,3.7,6.0,0.1,0.2,0.7,1.5,0.02,0.9,,,,2.2,80.0,0.2,43.8,0.2,8.0,,,,,7.17,0.0,0.3,2.0,,,1.6,62.4,6.0,3.7,,,33.0,0.9,0.4,6.0,3270,37,USA,0.0,0.0,0.0,0.0
Antony,Manchester United,0.7,57.9,30.5,80.0,7.0,1.0,4.0,,,1.8,44.1,0.5,8.0,1.9,1.0,0.13,0.1,3.4,4.1,0.23,1.3,,,1.0,0.8,12.0,1.1,37.2,0.1,1.0,1.0,29.0,1.0,2.2,6.84,1.0,1.7,2.7,,,1.4,52.5,1.0,1.9,1.0,0.0,22.0,1.5,2.9,5.0,1323,29,BRA,2.3,1.0,0.07,0.0
Arijanet Muric,Burnley,,,,,1.0,0.0,,,,,,,,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.4,,,900,10,KVX,,,,
Ashley Young,Everton,1.9,32.4,22.1,72.4,2.0,0.0,,,,0.5,50.0,1.8,45.0,1.4,0.0,0.06,0.0,0.6,0.3,0.02,1.3,,,,0.9,22.0,0.1,15.4,0.2,6.0,1.0,31.0,1.0,0.9,6.67,0.0,0.4,1.9,,,1.5,71.7,,,,,21.0,0.8,0.5,5.0,2288,31,ENG,0.0,0.0,0.0,1.0
Auston Trusty,Sheffield United,1.3,38.0,23.4,79.0,3.0,0.0,1.0,,,0.2,54.5,5.1,145.0,0.8,0.0,0.03,0.0,0.6,0.3,0.02,0.8,,,,1.2,35.0,0.1,25.0,0.8,22.0,1.0,32.0,,,6.25,0.0,0.1,1.1,,,1.0,63.8,,,,,8.0,0.3,0.3,4.0,2572,32,USA,0.0,0.0,0.0,0.0
Axel Disasi,Chelsea,1.6,35.4,69.5,90.6,,,2.0,,,0.4,70.6,3.4,97.0,1.0,0.0,0.03,0.0,3.6,2.3,0.12,0.6,,,2.0,0.6,18.0,0.1,25.0,0.7,19.0,,,,,6.84,1.0,0.1,2.1,,,0.7,57.6,,,2.0,0.0,3.0,0.1,0.6,6.0,2581,31,FRA,12.5,2.0,0.07,0.0
Bart Verbruggen,Brighton and Hove Albion,,,30.3,85.6,,,,4.0,28.0,0.0,100.0,0.8,17.0,0.0,0.0,0.0,0.0,,,,0.0,1.3,28.0,,,,,,,,,,,,6.54,0.0,,,3.1,65.0,0.0,100.0,,,,,,,,3.0,1890,21,NED,,,,0.0
Ben Brereton Diaz,Sheffield United,,,,,3.0,1.0,5.0,,,,,,,1.1,1.0,,,6.1,5.9,,,,,,,,,,,,,,1.0,1.5,,,,,,,,,1.0,1.1,6.0,1.0,8.0,0.6,,,1110,14,CHI,17.1,6.0,,0.0
Ben Davies,Tottenham Hotspur,,,,,,,3.0,,,,,,,0.6,0.0,,,2.3,1.5,,,,,,,,,,,,,,1.0,1.6,,,,,,,,,,,1.0,0.0,4.0,0.3,,,1085,17,WAL,8.3,1.0,,0.0
Ben Godfrey,Everton,,,,,,,4.0,,,,,,,0.5,0.0,,,1.8,0.8,,,,,,,,,,,,1.0,15.0,,,,,,,,,,,,,,,3.0,0.2,,,1122,15,ENG,0.0,0.0,,0.0
Ben Mee,Brentford,,,,,,,1.0,,,,,,,0.7,0.0,,,1.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,6.0,0.4,,1.0,1276,16,ENG,20.0,2.0,,1.0
