Player,Team,Accurate Long Balls per 90,Successful Long Balls (%),Accurate Passes per 90,Pass Success (%),Big Chances Created,Total Assists,Big Chances Missed,Clean Sheets,Goals Conceded,Successful Dribbles per 90,Dribble Success Rate (%),Clearances per 90,Total Clearances,Expected Assists (xA),Actual Assists,Expected Assists per 90,Actual Assists per 90,Expected Goals (xG),Expected Goals on Target (xGOT),Expected Goals per 90,Fouls Committed per 90,Goals Conceded per 90,Total Goals Conceded,Total Goals,Interceptions per 90,Total Interceptions,Shots on Target per 90,Shot Accuracy (%),Blocks per 90,Total Blocks,Penalties Conceded,Total Matches,Penalties Won,Fouls Won per 90,FotMob Rating,Player of the Match Awards,Possessions Won in Final 3rd per 90,Possessions Won Midfield per 90,Saves per 90,Total Saves,Tackles per 90,Tackle Success Rate (%),Assists,Secondary Assists,Goals,Penalties,Chances Created,Chances Created per 90,Shots per 90,Yellow Cards,Minutes,Matches,Country,Shot Conversion Rate (%),Actual Goals,Goals per 90,Red Cards,Pos,Age,Position_Group,Metrics_Available,Metrics_Required,Metric_Coverage,Metric_Coverage_Pct,Tackles per 90 Percentile,Tackle Success Rate (%) Percentile,Interceptions per 90 Percentile,Clearances per 90 Percentile,Blocks per 90 Percentile,Accurate Passes per 90 Percentile,Pass Success (%) Percentile,Accurate Long Balls per 90 Percentile,Successful Long Balls (%) Percentile,Possessions Won Midfield per 90 Percentile,Chances Created per 90 Percentile,Expected Assists per 90 Percentile,Actual Assists per 90 Percentile,Successful Dribbles per 90 Percentile,Goals per 90 Percentile,Expected Goals per 90 Percentile,Shots per 90 Percentile,Shots on Target per 90 Percentile,Shot Accuracy (%) Percentile,Shot Conversion Rate (%) Percentile,Scouting_Score,Defensive_Defender_Tackles_per_90_Pct,Defensive_Defender_Tackle_Success_Rate_(%)_Pct,Defensive_Defender_Interceptions_per_90_Pct,Defensive_Defender_Clearances_per_90_Pct,Defensive_Defender_Blocks_per_90_Pct,Defensive Defender Score,Ball_Playing_Defender_Accurate_Passes_per_90_Pct,Ball_Playing_Defender_Pass_Success_(%)_Pct,Ball_Playing_Defender_Accurate_Long_Balls_per_90_Pct,Ball_Playing_Defender_Successful_Long_Balls_(%)_Pct,Ball Playing Defender Score,Ball_Winning_Midfielder_Tackles_per_90_Pct,Ball_Winning_Midfielder_Interceptions_per_90_Pct,Ball_Winning_Midfielder_Possessions_Won_Midfield_per_90_Pct,Ball Winning Midfielder Score,Creative_Midfielder_Chances_Created_per_90_Pct,Creative_Midfielder_Expected_Assists_per_90_Pct,Creative_Midfielder_Actual_Assists_per_90_Pct,Creative_Midfielder_Accurate_Passes_per_90_Pct,Creative_Midfielder_Successful_Dribbles_per_90_Pct,Creative Midfielder Score,Goal_Scorer_Goals_per_90_Pct,Goal_Scorer_Expected_Goals_per_90_Pct,Goal_Scorer_Shots_per_90_Pct,Goal_Scorer_Shots_on_Target_per_90_Pct,Goal_Scorer_Shot_Accuracy_(%)_Pct,Goal_Scorer_Shot_Conversion_Rate_(%)_Pct,Goal Scorer Score,Creative_Forward_Expected_Assists_per_90_Pct,Creative_Forward_Actual_Assists_per_90_Pct,Creative_Forward_Chances_Created_per_90_Pct,Creative_Forward_Successful_Dribbles_per_90_Pct,Creative Forward Score,Defensive Defender Metrics Available,Defensive Defender Eligible,Ball Playing Defender Metrics Available,Ball Playing Defender Eligible,Ball Winning Midfielder Metrics Available,Ball Winning Midfielder Eligible,Creative Midfielder Metrics Available,Creative Midfielder Eligible,Goal Scorer Metrics Available,Goal Scorer Eligible,Creative Forward Metrics Available,Creative Forward Eligible
Aaron Wan-Bissaka,Manchester United,0.7,31.7,34.9,82.9,1.0,2.0,,,,0.9,65.4,2.7,54.0,1.4,2.0,0.07,0.1,0.1,0.0,0.01,0.9,,,,2.1,41.0,0.1,33.3,0.8,15.0,1.0,22.0,,,7.03,1.0,0.3,1.8,,,1.3,59.5,2.0,1.4,,,12.0,0.6,0.2,4.0,1781,22,ENG,0.0,0.0,0.0,0.0,DF,25.0,Defender,9.0,7.0,1.2857142857142858,100.0,69.04761904761905,47.14285714285714,98.57142857142858,46.666666666666664,70.47619047619048,40.95238095238095,49.047619047619044,2.380952380952381,12.380952380952381,,,,,,,,,,,,48.5,69.04761904761905,47.14285714285714,98.57142857142858,46.666666666666664,70.47619047619048,66.4,40.95238095238095,49.047619047619044,2.380952380952381,12.380952380952381,26.2,,,,,,,,,,,,,,,,,,,,,,,5.0,True,4.0,True,,,,,,,,
Abdoulaye Doucouré,Everton,0.6,48.6,23.2,78.5,4.0,2.0,10.0,,,0.9,54.3,0.6,18.0,1.5,2.0,0.05,0.1,8.8,8.8,0.3,1.8,,,7.0,0.5,15.0,0.8,48.9,0.1,3.0,1.0,32.0,,,7.01,0.0,0.9,2.1,,,0.9,62.8,2.0,1.5,7.0,0.0,34.0,1.2,1.6,7.0,2637,32,MLI,14.9,7.0,0.24,0.0,"FW,MF",30.0,Forward,10.0,7.0,1.4285714285714286,100.0,,,,,,,,,,,46.2962962962963,9.49367088607595,32.91139240506329,24.68354430379747,29.11392405063291,43.67088607594937,6.962025316455696,25.949367088607595,81.0126582278481,58.0246913580247,35.8,,,,,,,,,,,,,,,,,,,,,,29.11392405063291,43.67088607594937,6.962025316455696,25.949367088607595,81.0126582278481,58.0246913580247,40.8,9.49367088607595,32.91139240506329,46.2962962962963,24.68354430379747,28.3,,,,,,,,,6.0,True,4.0,True
Adam Smith,Bournemouth,1.0,18.9,24.7,77.1,2.0,2.0,,,,0.2,33.3,2.0,49.0,1.7,2.0,0.07,0.1,0.1,,0.0,1.3,,,,0.9,21.0,,,0.5,11.0,2.0,28.0,,,6.71,0.0,0.1,1.3,,,1.0,62.2,2.0,1.7,,,17.0,0.7,0.1,6.0,2156,28,ENG,0.0,0.0,0.0,0.0,DF,32.0,Defender,9.0,7.0,1.2857142857142858,100.0,44.285714285714285,61.904761904761905,35.23809523809524,19.047619047619047,45.23809523809524,11.428571428571429,19.047619047619047,13.333333333333334,0.9523809523809524,,,,,,,,,,,,27.8,44.285714285714285,61.904761904761905,35.23809523809524,19.047619047619047,45.23809523809524,41.1,11.428571428571429,19.047619047619047,13.333333333333334,0.9523809523809524,11.2,,,,,,,,,,,,,,,,,,,,,,,5.0,True,4.0,True,,,,,,,,
Adam Webster,Brighton and Hove Albion,,,,,,,,,,,,,,0.3,0.0,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.4,,,1143,15,ENG,,0.0,,0.0,DF,28.0,Defender,0.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,False,0.0,False,,,,,,,,
Adam Wharton,Crystal Palace,,,,,5.0,3.0,,,,,,,,1.5,3.0,,,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.5,,,21.0,1.4,,,1305,16,ENG,,0.0,,0.0,MF,19.0,Midfielder,1.0,7.0,0.14285714285714285,10.0,,,,,,,,,,,65.68627450980392,,,,,,,,,,,,,,,,,,,,,,,,,,65.68627450980392,,,,,,,,,,,,,,,,,,,,,,0.0,False,1.0,False,,,,
Albert Sambi Lokonga,Luton Town,,,,,2.0,3.0,,,,,,,,0.8,3.0,,,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.8,1.0,0.0,9.0,0.6,,,1308,17,BEL,,1.0,,0.0,MF,23.0,Midfielder,1.0,7.0,0.14285714285714285,10.0,,,,,,,,,,,15.686274509803921,,,,,,,,,,,,,,,,,,,,,,,,,,15.686274509803921,,,,,,,,,,,,,,,,,,,,,,0.0,False,1.0,False,,,,
Alejandro Garnacho,Manchester United,0.7,45.2,23.2,79.4,6.0,4.0,7.0,,,1.7,43.2,0.4,12.0,2.9,4.0,0.1,0.1,8.7,7.0,0.3,0.7,,,7.0,0.6,18.0,1.0,28.0,0.1,2.0,,,2.0,1.9,7.09,2.0,0.7,1.4,,,0.5,68.2,4.0,2.9,7.0,0.0,46.0,1.6,3.5,4.0,2573,36,ARG,7.0,7.0,0.24,0.0,FW,19.0,Forward,10.0,7.0,1.4285714285714286,100.0,,,,,,,,,,,69.1358024691358,39.24050632911392,32.91139240506329,69.62025316455697,29.11392405063291,43.67088607594937,88.60759493670885,49.36708860759494,8.860759493670885,8.641975308641975,43.9,,,,,,,,,,,,,,,,,,,,,,29.11392405063291,43.67088607594937,88.60759493670885,49.36708860759494,8.860759493670885,8.641975308641975,38.0,39.24050632911392,32.91139240506329,69.1358024691358,69.62025316455697,52.7,,,,,,,,,6.0,True,4.0,True
Alex Iwobi,Fulham,1.5,48.8,31.7,81.6,5.0,2.0,2.0,,,1.5,54.8,0.2,6.0,4.3,2.0,0.17,0.1,5.7,6.1,0.22,0.5,,,5.0,0.6,15.0,0.8,36.4,,,,,,,7.06,2.0,0.8,2.4,,,0.7,58.1,2.0,4.3,5.0,0.0,53.0,2.0,2.1,2.0,2342,32,NGA,9.1,5.0,0.19,0.0,"FW,MF",27.0,Forward,10.0,7.0,1.4285714285714286,100.0,,,,,,,,,,,84.5679012345679,68.9873417721519,32.91139240506329,60.75949367088608,17.72151898734177,26.582278481012654,29.746835443037973,25.949367088607595,29.746835443037973,19.753086419753085,39.7,,,,,,,,,,,,,,,,,,,,,,17.72151898734177,26.582278481012654,29.746835443037973,25.949367088607595,29.746835443037973,19.753086419753085,24.9,68.9873417721519,32.91139240506329,84.5679012345679,60.75949367088608,61.8,,,,,,,,,6.0,True,4.0,True
Alex Scott,Bournemouth,1.3,51.7,31.2,81.0,4.0,1.0,,,,1.2,39.4,1.5,17.0,1.1,1.0,0.09,0.1,0.7,0.9,0.06,1.8,,,1.0,1.1,12.0,0.4,26.7,0.4,4.0,,,,,6.65,1.0,0.9,2.5,,,1.3,62.5,1.0,1.1,1.0,0.0,22.0,2.0,1.3,3.0,1010,23,ENG,6.7,1.0,0.09,0.0,MF,19.0,Midfielder,10.0,7.0,1.4285714285714286,100.0,61.82795698924731,,64.51612903225806,,,37.634408602150536,33.33333333333333,37.634408602150536,,46.774193548387096,82.35294117647058,41.935483870967744,51.61290322580645,76.34408602150538,,,,,,,53.4,,,,,,,,,,,,61.82795698924731,64.51612903225806,46.774193548387096,57.7,82.35294117647058,41.935483870967744,51.61290322580645,37.634408602150536,76.34408602150538,58.0,,,,,,,,,,,,,,,,,3.0,True,5.0,True,,,,
Alexander Isak,Newcastle United,0.4,66.7,15.1,80.0,5.0,2.0,21.0,,,1.7,60.0,0.5,12.0,2.8,2.0,0.11,0.1,20.3,22.8,0.81,0.6,,,21.0,0.2,6.0,1.7,55.1,0.0,1.0,,,1.0,0.6,7.37,4.0,0.5,0.8,,,,,2.0,2.8,21.0,5.0,27.0,1.1,3.1,1.0,2265,30,SWE,26.9,21.0,0.83,0.0,FW,23.0,Forward,10.0,7.0,1.4285714285714286,100.0,,,,,,,,,,,37.03703703703704,43.67088607594937,32.91139240506329,69.62025316455697,98.73417721518987,98.10126582278481,75.31645569620254,94.9367088607595,93.67088607594937,95.06172839506173,73.9,,,,,,,,,,,,,,,,,,,,,,98.73417721518987,98.10126582278481,75.31645569620254,94.9367088607595,93.67088607594937,95.06172839506173,92.6,43.67088607594937,32.91139240506329,37.03703703703704,69.62025316455697,45.8,,,,,,,,,6.0,True,4.0,True
