Rank,Team,Accurate Crosses per Match,Cross Success (%),Matches,Country
1,Liverpool,6.0,28.0,38,ENG
2,Brentford,5.2,28.2,38,ENG
3,Luton Town,5.1,23.2,38,ENG
4,Brighton & Hove Albion,4.8,27.0,38,ENG
5,Newcastle United,4.7,27.3,38,ENG
6,Fulham,4.7,24.5,38,ENG
7,Arsenal,4.6,26.0,38,ENG
8,AFC Bournemouth,4.5,24.1,38,ENG
9,Everton,4.5,22.6,38,ENG
10,West Ham United,4.2,23.9,38,ENG
11,Manchester City,4.1,22.1,38,ENG
12,Aston Villa,3.9,22.6,38,ENG
13,Crystal Palace,3.8,24.5,38,ENG
14,Wolverhampton Wanderers,3.7,24.4,38,ENG
15,Tottenham Hotspur,3.6,19.0,38,ENG
16,Burnley,3.5,24.0,38,ENG
17,Nottingham Forest,3.4,21.8,38,ENG
18,Manchester United,3.4,21.7,38,ENG
19,Chelsea,3.0,20.4,38,ENG
20,Sheffield United,2.8,24.8,38,ENG
