Rank,Team,Accurate Passes per Match,Pass Success (%),Matches,Country
1,Manchester City,625.1,90.5,38,ENG
2,Brighton & Hove Albion,551.2,89.0,38,ENG
3,Tottenham Hotspur,517.4,87.4,38,ENG
4,Liverpool,508.2,85.8,38,ENG
5,Chelsea,504.7,87.5,38,ENG
6,Arsenal,481.0,86.8,38,ENG
7,Fulham,403.8,82.5,38,ENG
8,Aston Villa,402.8,85.6,38,ENG
9,Newcastle United,396.7,82.7,38,ENG
10,Manchester United,393.4,82.7,38,ENG
11,Wolverhampton Wanderers,382.2,82.4,38,ENG
12,Burnley,344.1,79.5,38,ENG
13,Crystal Palace,318.1,79.2,38,ENG
14,Brentford,307.0,76.6,38,ENG
15,West Ham United,306.8,79.1,38,ENG
16,Nottingham Forest,293.3,78.7,38,ENG
17,AFC Bournemouth,288.1,77.1,38,ENG
18,Everton,273.7,75.6,38,ENG
19,Luton Town,267.1,76.1,38,ENG
20,Sheffield United,232.5,72.3,38,ENG
