Rank,Team,Big Chances,Goals,Matches,Country
1,Newcastle United,134.0,85.0,38,ENG
2,Liverpool,128.0,86.0,38,ENG
3,Manchester City,124.0,96.0,38,ENG
4,Chelsea,122.0,77.0,38,ENG
5,Arsenal,113.0,91.0,38,ENG
6,Tottenham Hotspur,107.0,74.0,38,ENG
7,Brentford,107.0,56.0,38,ENG
8,Aston Villa,98.0,76.0,38,ENG
9,Brighton & Hove Albion,91.0,55.0,38,ENG
10,Everton,90.0,40.0,38,ENG
11,AFC Bournemouth,83.0,54.0,38,ENG
12,Nottingham Forest,81.0,49.0,38,ENG
13,West Ham United,80.0,60.0,38,ENG
14,Manchester United,79.0,57.0,38,ENG
15,Wolverhampton Wanderers,73.0,50.0,38,ENG
16,Crystal Palace,71.0,57.0,38,ENG
17,Fulham,69.0,55.0,38,ENG
18,Luton Town,65.0,52.0,38,ENG
19,Sheffield United,62.0,35.0,38,ENG
20,Burnley,60.0,41.0,38,ENG
