Rank,Team,Clean Sheets,Matches,Country
1,Arsenal,18.0,38,ENG
2,Everton,13.0,38,ENG
2,Manchester City,13.0,38,ENG
4,Crystal Palace,10.0,38,ENG
4,Fulham,10.0,38,ENG
4,Liverpool,10.0,38,ENG
4,Newcastle United,10.0,38,ENG
8,AFC Bournemouth,9.0,38,ENG
8,Manchester United,9.0,38,ENG
10,Aston Villa,8.0,38,ENG
10,Chelsea,8.0,38,ENG
12,Brentford,7.0,38,ENG
12,Tottenham Hotspur,7.0,38,ENG
14,Brighton & Hove Albion,6.0,38,ENG
15,West Ham United,5.0,38,ENG
15,Wolverhampton Wanderers,5.0,38,ENG
17,Nottingham Forest,4.0,38,ENG
18,Burnley,2.0,38,ENG
18,Luton Town,2.0,38,ENG
20,Sheffield United,1.0,38,ENG
