Rank,Team,Corners Taken,Matches,Country
1,Liverpool,287.0,38,ENG
2,Manchester City,286.0,38,ENG
3,Arsenal,265.0,38,ENG
4,AFC Bournemouth,235.0,38,ENG
5,Tottenham Hotspur,234.0,38,ENG
6,Aston Villa,231.0,38,ENG
7,Manchester United,224.0,38,ENG
8,Fulham,212.0,38,ENG
9,Brighton & Hove Albion,206.0,38,ENG
10,Luton Town,203.0,38,ENG
11,Chelsea,202.0,38,ENG
12,Newcastle United,192.0,38,ENG
13,Brentford,184.0,38,ENG
14,Everton,181.0,38,ENG
15,Burnley,180.0,38,ENG
16,Crystal Palace,178.0,38,ENG
17,West Ham United,166.0,38,ENG
18,Wolverhampton Wanderers,156.0,38,ENG
19,Nottingham Forest,148.0,38,ENG
20,Sheffield United,141.0,38,ENG
