Rank,Team,Expected Goals Conceded,Goals Conceded,Matches,Country
1,Luton Town,79.8,85.0,38,ENG
2,Sheffield United,77.5,104.0,38,ENG
3,West Ham United,72.2,74.0,38,ENG
4,Burnley,71.9,78.0,38,ENG
5,Manchester United,70.1,58.0,38,ENG
6,Wolverhampton Wanderers,68.9,65.0,38,ENG
7,Tottenham Hotspur,64.6,61.0,38,ENG
8,Fulham,64.3,61.0,38,ENG
9,Newcastle United,62.0,62.0,38,ENG
10,Aston Villa,60.7,61.0,38,ENG
11,Chelsea,59.0,63.0,38,ENG
12,AFC Bournemouth,58.8,67.0,38,ENG
13,Brentford,56.7,65.0,38,ENG
14,Brighton & Hove Albion,56.4,62.0,38,ENG
15,Everton,56.1,51.0,38,ENG
16,Nottingham Forest,53.9,67.0,38,ENG
17,Crystal Palace,52.8,58.0,38,ENG
18,Liverpool,46.2,41.0,38,ENG
19,Manchester City,35.9,34.0,38,ENG
20,Arsenal,28.4,29.0,38,ENG
