Rank,Team,Interceptions per Match,Total Interceptions,Matches,Country
1,Brentford,9.9,378.0,38,ENG
2,Fulham,9.8,371.0,38,ENG
3,West Ham United,9.5,361.0,38,ENG
4,Everton,9.4,358.0,38,ENG
5,AFC Bournemouth,9.4,357.0,38,ENG
6,Tottenham Hotspur,9.3,355.0,38,ENG
7,Sheffield United,9.1,347.0,38,ENG
8,Nottingham Forest,8.7,331.0,38,ENG
9,Luton Town,8.6,325.0,38,ENG
10,Crystal Palace,8.5,324.0,38,ENG
11,Manchester United,8.2,313.0,38,ENG
12,Chelsea,7.8,298.0,38,ENG
13,Arsenal,7.7,292.0,38,ENG
13,Liverpool,7.7,292.0,38,ENG
15,Brighton & Hove Albion,7.6,288.0,38,ENG
16,Newcastle United,7.5,285.0,38,ENG
17,Wolverhampton Wanderers,7.5,284.0,38,ENG
18,Burnley,7.4,280.0,38,ENG
19,Aston Villa,6.2,236.0,38,ENG
20,Manchester City,6.1,233.0,38,ENG
