Rank,Team,Penalties Conceded,Penalty Goals Conceded,Matches,Country
1,West Ham United,10.0,8.0,38,ENG
2,Everton,8.0,8.0,38,ENG
2,Fulham,8.0,8.0,38,ENG
2,Wolverhampton Wanderers,8.0,8.0,38,ENG
5,Manchester United,7.0,7.0,38,ENG
5,Tottenham Hotspur,7.0,7.0,38,ENG
7,AFC Bournemouth,7.0,6.0,38,ENG
7,Burnley,7.0,6.0,38,ENG
9,Sheffield United,7.0,5.0,38,ENG
10,Brighton & Hove Albion,6.0,6.0,38,ENG
11,Newcastle United,5.0,4.0,38,ENG
12,Chelsea,5.0,3.0,38,ENG
13,Luton Town,4.0,4.0,38,ENG
13,Nottingham Forest,4.0,4.0,38,ENG
15,Crystal Palace,3.0,3.0,38,ENG
15,Manchester City,3.0,3.0,38,ENG
17,Arsenal,3.0,2.0,38,ENG
18,Brentford,2.0,2.0,38,ENG
19,Aston Villa,2.0,1.0,38,ENG
20,Liverpool,1.0,1.0,38,ENG
