Rank,Player,Team,Accurate Long Balls per 90,Successful Long Balls (%),Minutes,Matches,Country
1,Rodri,Manchester City,7.4,80.6,2938,34,ESP
2,Trent Alexander-Arnold,Liverpool,6.1,44.4,2159,28,ENG
3,Thomas Doyle,Wolverhampton Wanderers,5.6,57.3,1213,26,ENG
4,Fabian Schär,Newcastle United,5.5,50.1,3054,36,SUI
5,Joachim Andersen,Crystal Palace,5.3,42.4,3416,38,DEN
6,Enzo Fernández,Chelsea,5.2,68.6,2214,28,ARG
7,Pierre-Emile Højbjerg,Tottenham Hotspur,5.2,67.0,1293,36,DEN
8,Marcos Senesi,Bournemouth,5.0,44.2,2247,31,ARG
9,Nayef Aguerd,West Ham United,5.0,39.5,1859,21,MAR
10,Lewis Dunk,Brighton and Hove Albion,4.7,55.2,2872,33,ENG
11,Virgil van Dijk,Liverpool,4.4,62.4,3178,36,NED
12,Bruno Fernandes,Manchester United,4.4,57.4,3119,35,POR
13,Oliver Norwood,Sheffield United,4.3,34.3,1433,27,NIR
14,James Tarkowski,Everton,4.2,53.4,3419,38,ENG
15,Craig Dawson,Wolverhampton Wanderers,4.1,54.1,2211,25,ENG
16,Tosin Adarabioyo,Fulham,4.0,52.6,1617,20,ENG
17,Harry Maguire,Manchester United,4.0,49.3,1650,22,ENG
18,Marc Guehi,Crystal Palace,3.8,48.0,2022,25,ENG
19,Max Kilman,Wolverhampton Wanderers,3.8,46.5,3420,38,ENG
20,Murillo,Nottingham Forest,3.8,38.7,2793,32,BRA
21,Jorginho,Arsenal,3.7,71.7,919,24,ITA
22,Bruno Guimaraes,Newcastle United,3.6,59.2,3268,37,BRA
23,Casemiro,Manchester United,3.6,50.6,1985,25,BRA
24,Illia Zabarnyi,Bournemouth,3.5,39.2,3330,37,UKR
25,Sofyan Amrabat,Manchester United,3.4,79.5,931,21,MAR
26,Thiago Silva,Chelsea,3.4,65.8,2527,31,BRA
27,Dara O'Shea,Burnley,3.4,43.0,2894,33,IRL
28,Giovani Lo Celso,Tottenham Hotspur,3.3,75.0,495,22,ARG
29,Jan Paul van Hecke,Brighton and Hove Albion,3.3,62.9,2368,28,NED
30,Mathias Jensen,Brentford,3.3,56.9,2217,32,DEN
31,Diego Carlos,Aston Villa,3.3,41.8,1811,27,BRA
32,Kieran Trippier,Newcastle United,3.2,44.6,2240,28,ENG
33,Calvin Bassey,Fulham,3.2,43.2,2301,29,NGA
34,Lloyd Kelly,Bournemouth,3.2,36.2,1556,23,ENG
35,Pau Torres,Aston Villa,3.1,47.2,2463,29,ESP
36,Douglas Luiz,Aston Villa,3.0,66.0,3001,35,BRA
37,Ruben Dias,Manchester City,3.0,60.4,2557,30,POR
38,Ross Barkley,Luton Town,3.0,60.3,2622,32,ENG
39,Manuel Akanji,Manchester City,2.9,68.1,2513,30,SUI
40,Moisés Caicedo,Chelsea,2.8,72.1,2872,35,ECU
41,Oleksandr Zinchenko,Arsenal,2.8,63.1,1722,27,UKR
42,Pascal Gross,Brighton and Hove Albion,2.8,57.0,3114,36,GER
43,Antonee Robinson,Fulham,2.8,47.0,3270,37,USA
44,Harvey Elliott,Liverpool,2.7,62.5,1336,34,ENG
45,Billy Gilmour,Brighton and Hove Albion,2.7,62.1,2125,30,SCO
46,Joao Palhinha,Fulham,2.7,55.6,2709,33,POR
47,Ryan Christie,Bournemouth,2.7,54.0,2918,37,SCO
48,Ibrahima Konaté,Liverpool,2.7,43.1,1571,22,FRA
49,Willian,Fulham,2.6,81.1,2054,31,BRA
50,Amadou Onana,Everton,2.6,70.9,2090,30,BEL
51,Christian Eriksen,Manchester United,2.6,53.2,1139,22,DEN
52,Teden Mengi,Luton Town,2.6,38.9,2470,30,ENG
53,Sander Berge,Burnley,2.5,71.6,3005,37,NOR
54,Mikkel Damsgaard,Brentford,2.5,62.2,835,23,DEN
55,Tom Cairney,Fulham,2.5,58.6,1475,34,SCO
56,Kyle Walker,Manchester City,2.5,56.5,2767,32,ENG
57,Andrew Robertson,Liverpool,2.5,49.0,1691,23,SCO
58,Ethan Pinnock,Brentford,2.5,45.5,2521,29,JAM
59,Cole Palmer,Chelsea,2.4,65.7,2624,34,ENG
60,Joseph Gomez,Liverpool,2.4,58.5,1779,32,ENG
61,Lucas Paquetá,West Ham United,2.4,53.0,2634,31,BRA
62,Nathan Patterson,Everton,2.4,42.9,999,20,SCO
63,Konstantinos Mavropanos,West Ham United,2.4,33.9,1501,19,GRE
64,Matt Doherty,Wolverhampton Wanderers,2.3,69.0,1142,30,IRL
65,Dominik Szoboszlai,Liverpool,2.3,68.4,2109,33,HUN
66,Edson Álvarez,West Ham United,2.3,54.1,2383,31,MEX
