Rank,Player,Team,Accurate Passes per 90,Pass Success (%),Minutes,Matches,Country
1,Rodri,Manchester City,102.9,92.5,2938,34,ESP
2,Lewis Dunk,Brighton and Hove Albion,93.1,92.5,2872,33,ENG
3,Ruben Dias,Manchester City,86.4,94.1,2557,30,POR
4,Pierre-Emile Højbjerg,Tottenham Hotspur,85.3,88.6,1293,36,DEN
5,Jan Paul van Hecke,Brighton and Hove Albion,84.3,92.5,2368,28,NED
6,Mateo Kovacic,Manchester City,83.3,94.1,1548,30,CRO
7,Billy Gilmour,Brighton and Hove Albion,80.6,92.2,2125,30,SCO
8,Giovani Lo Celso,Tottenham Hotspur,80.4,91.5,495,22,ARG
9,Manuel Akanji,Manchester City,77.1,93.8,2513,30,SUI
10,Thiago Silva,Chelsea,77.0,94.9,2527,31,BRA
11,Cristian Romero,Tottenham Hotspur,76.6,91.9,2792,33,ARG
12,Pascal Gross,Brighton and Hove Albion,76.3,90.2,3114,36,GER
13,Virgil van Dijk,Liverpool,74.4,91.5,3178,36,NED
14,Igor,Brighton and Hove Albion,73.0,93.6,1636,24,BRA
15,Ibrahima Konaté,Liverpool,73.0,88.0,1571,22,FRA
16,Yves Bissouma,Tottenham Hotspur,72.9,91.9,2081,28,MLI
17,Nathan Aké,Manchester City,72.3,92.8,2044,29,NED
18,Axel Disasi,Chelsea,69.5,90.6,2581,31,FRA
19,William Saliba,Arsenal,69.2,92.6,3420,38,FRA
20,Tom Cairney,Fulham,68.4,90.3,1475,34,SCO
21,Jorginho,Arsenal,68.3,90.2,919,24,ITA
22,Emerson Royal,Tottenham Hotspur,67.4,91.2,1155,22,BRA
23,Oleksandr Zinchenko,Arsenal,65.9,89.4,1722,27,UKR
24,Micky van de Ven,Tottenham Hotspur,64.6,94.3,2342,27,NED
25,Enzo Fernández,Chelsea,63.4,86.9,2214,28,ARG
26,Kyle Walker,Manchester City,62.8,90.4,2767,32,ENG
27,Wataru Endo,Liverpool,60.4,88.4,1719,29,JPN
28,Rodrigo Bentancur,Tottenham Hotspur,60.1,85.5,1007,23,URU
29,Moisés Caicedo,Chelsea,59.7,90.8,2872,35,ECU
30,Josko Gvardiol,Manchester City,59.1,88.3,2328,28,CRO
31,Diego Carlos,Aston Villa,58.8,88.4,1811,27,BRA
32,Alexis Mac Allister,Liverpool,58.4,87.8,2609,33,ARG
33,Thomas Doyle,Wolverhampton Wanderers,58.4,86.4,1213,26,ENG
34,Andrew Robertson,Liverpool,58.1,87.7,1691,23,SCO
35,Tosin Adarabioyo,Fulham,57.1,84.7,1617,20,ENG
36,Bernardo Silva,Manchester City,56.9,89.4,2581,33,POR
37,Pau Torres,Aston Villa,56.8,87.8,2463,29,ESP
38,Gabriel,Arsenal,56.5,89.1,3044,36,BRA
39,Declan Rice,Arsenal,56.3,90.7,3230,38,ENG
40,Calvin Bassey,Fulham,56.2,86.2,2301,29,NGA
41,Trent Alexander-Arnold,Liverpool,55.9,79.6,2159,28,ENG
42,Malo Gusto,Chelsea,55.7,89.2,1755,27,FRA
43,Sofyan Amrabat,Manchester United,54.9,88.1,931,21,MAR
44,Kieran Trippier,Newcastle United,54.9,79.7,2240,28,ENG
45,Harvey Elliott,Liverpool,53.4,87.7,1336,34,ENG
46,Victor Nilsson Lindelöf,Manchester United,53.0,89.5,1332,19,SWE
47,Bruno Guimaraes,Newcastle United,53.0,85.0,3268,37,BRA
48,Curtis Jones,Liverpool,52.9,91.5,1167,23,ENG
49,Douglas Luiz,Aston Villa,52.9,89.4,3001,35,BRA
50,Ezri Konsa,Aston Villa,52.7,92.2,3073,35,ENG
51,Casemiro,Manchester United,52.7,82.6,1985,25,BRA
52,Pervis Estupinán,Brighton and Hove Albion,52.6,88.7,1244,19,ECU
53,Dominik Szoboszlai,Liverpool,52.1,87.3,2109,33,HUN
54,Max Kilman,Wolverhampton Wanderers,51.9,86.3,3420,38,ENG
55,Fabian Schär,Newcastle United,51.7,83.2,3054,36,SUI
56,Josh Cullen,Burnley,50.8,86.7,2059,25,IRL
57,Conor Gallagher,Chelsea,50.7,91.5,3135,37,ENG
58,Marc Guehi,Crystal Palace,50.4,87.2,2022,25,ENG
59,Pape Sarr,Tottenham Hotspur,50.3,88.7,2085,34,SEN
60,Joseph Gomez,Liverpool,50.1,86.2,1779,32,ENG
61,Christian Eriksen,Manchester United,50.1,84.1,1139,22,DEN
62,Harry Maguire,Manchester United,49.9,83.4,1650,22,ENG
63,Ben White,Arsenal,49.8,86.7,2995,37,ENG
64,Boubacar Kamara,Aston Villa,49.6,89.3,1659,20,FRA
65,James Maddison,Tottenham Hotspur,49.2,87.4,2152,28,ENG
66,Carlos Baleba,Brighton and Hove Albion,48.6,92.2,1321,27,CMR
67,Matheus Nunes,Manchester City,48.6,86.2,833,19,POR
68,Martin Ødegaard,Arsenal,47.9,86.8,3098,35,NOR
69,Adam Lallana,Brighton and Hove Albion,47.8,90.0,846,25,ENG
70,Jonny Evans,Manchester United,46.8,87.9,1396,23,NIR
71,Phil Foden,Manchester City,46.7,89.1,2865,35,ENG
72,Marc Cucurella,Chelsea,46.2,86.7,1784,21,ESP
73,Toti Gomes,Wolverhampton Wanderers,46.0,82.8,2774,35,POR
