Rank,Player,Team,Clean Sheets,Goals Conceded,Minutes,Matches,Country
1,David Raya,Arsenal,16.0,24.0,2880,32,ESP
2,Jordan Pickford,Everton,13.0,51.0,3420,38,ENG
3,Ederson Moraes,Manchester City,10.0,27.0,2788,33,BRA
4,Bernd Leno,Fulham,10.0,61.0,3420,38,GER
5,Andre Onana,Manchester United,9.0,58.0,3420,38,CMR
6,Alisson Becker,Liverpool,8.0,30.0,2520,28,BRA
7,Emiliano Martinez,Aston Villa,8.0,48.0,3015,34,ARG
8,Neto,Bournemouth,7.0,55.0,2880,32,BRA
9,Guglielmo Vicario,Tottenham Hotspur,7.0,61.0,3420,38,ITA
10,Mark Flekken,Brentford,7.0,63.0,3285,37,NED
11,Sam Johnstone,Crystal Palace,6.0,27.0,1797,20,ENG
12,Nick Pope,Newcastle United,5.0,16.0,1346,15,ENG
13,Djordje Petrovic,Chelsea,5.0,38.0,1986,23,SRB
14,Bart Verbruggen,Brighton and Hove Albion,4.0,28.0,1890,21,NED
15,Dean Henderson,Crystal Palace,4.0,30.0,1620,18,ENG
16,Martin Dubravka,Newcastle United,4.0,42.0,1984,23,SVK
17,Alphonse Areola,West Ham United,4.0,53.0,2699,31,FRA
18,José Sá,Wolverhampton Wanderers,4.0,58.0,3038,35,POR
19,Robert Sánchez,Chelsea,3.0,25.0,1434,16,ESP
20,Aaron Ramsdale,Arsenal,2.0,5.0,540,6,ENG
20,Mark Travers,Bournemouth,2.0,5.0,360,4,IRL
22,Caoimhin Kelleher,Liverpool,2.0,11.0,900,10,IRL
23,Matt Turner,Nottingham Forest,2.0,28.0,1530,17,USA
24,Jason Steele,Brighton and Hove Albion,2.0,34.0,1530,17,ENG
25,James Trafford,Burnley,2.0,62.0,2520,28,ENG
26,Thomas Kaminski,Luton Town,2.0,85.0,3406,38,BEL
27,Daniel Bentley,Wolverhampton Wanderers,1.0,7.0,382,5,ENG
27,Stefan Ortega,Manchester City,1.0,7.0,632,9,GER
29,Odisseas Vlachodimos,Nottingham Forest,1.0,12.0,450,5,GRE
30,Lukasz Fabianski,West Ham United,1.0,21.0,721,10,POL
31,Matz Sels,Nottingham Forest,1.0,27.0,1440,16,BEL
32,Wesley Foderingham,Sheffield United,1.0,79.0,2648,30,ENG
