Rank,Player,Team,Successful Dribbles per 90,Dribble Success Rate (%),Minutes,Matches,Country
1,Jérémy Doku,Manchester City,4.9,57.6,1593,29,BEL
2,Mohammed Kudus,West Ham United,4.5,61.7,2483,33,GHA
3,Luis Sinisterra,Bournemouth,3.8,61.7,692,20,COL
4,Noni Madueke,Chelsea,3.2,50.0,1053,23,ENG
5,Eberechi Eze,Crystal Palace,3.0,51.9,2065,27,ENG
6,Chiedozie Ogbene,Luton Town,2.8,58.1,1993,30,IRL
7,Michael Olise,Crystal Palace,2.8,54.8,1277,19,FRA
8,Leon Bailey,Aston Villa,2.5,53.3,2072,35,JAM
9,Armando Broja,Fulham,2.5,42.9,535,21,ALB
10,Rayan Ait Nouri,Wolverhampton Wanderers,2.4,61.4,2344,33,ALG
11,Kaoru Mitoma,Brighton and Hove Albion,2.4,47.0,1488,19,JPN
12,Yegor Yarmolyuk,Brentford,2.3,70.8,675,27,UKR
13,Ross Barkley,Luton Town,2.3,66.0,2622,32,ENG
14,Luis Diaz,Liverpool,2.3,54.0,2646,37,COL
15,Wilson Odobert,Burnley,2.3,52.0,2107,29,FRA
16,Matheus Cunha,Wolverhampton Wanderers,2.3,51.2,2453,32,BRA
17,Mykhaylo Mudryk,Chelsea,2.2,55.7,1578,31,UKR
18,Matheus Nunes,Manchester City,2.2,54.1,833,19,POR
19,Pedro Neto,Wolverhampton Wanderers,2.2,46.8,1518,20,POR
20,Callum Hudson-Odoi,Nottingham Forest,2.1,61.4,1854,29,ENG
21,Gabriel Jesus,Arsenal,2.1,53.8,1482,27,BRA
22,Antoine Semenyo,Bournemouth,2.1,47.6,2111,33,GHA
23,Bruno Guimaraes,Newcastle United,2.0,63.7,3268,37,BRA
24,Simon Adingra,Brighton and Hove Albion,2.0,43.9,2230,31,CIV
25,Raheem Sterling,Chelsea,2.0,39.1,1981,31,ENG
26,Naouirou Ahamada,Crystal Palace,1.9,58.3,333,20,FRA
27,Joao Pedro,Brighton and Hove Albion,1.9,48.9,2043,31,BRA
28,Marcus Rashford,Manchester United,1.9,47.5,2278,33,ENG
29,Marcus Tavernier,Bournemouth,1.9,44.4,2129,30,ENG
30,Elliot Anderson,Newcastle United,1.8,53.8,1022,21,SCO
31,Cole Palmer,Chelsea,1.8,53.1,2624,34,ENG
32,Ryan Gravenberch,Liverpool,1.8,51.1,1121,26,NED
33,Jordan Ayew,Crystal Palace,1.8,47.7,2549,35,GHA
34,Dejan Kulusevski,Tottenham Hotspur,1.8,45.0,2763,36,SWE
35,Antony,Manchester United,1.8,44.1,1323,29,BRA
36,Gabriel Martinelli,Arsenal,1.8,39.6,2029,35,BRA
37,Cody Gakpo,Liverpool,1.7,64.6,1644,35,NED
38,Alexander Isak,Newcastle United,1.7,60.0,2265,30,SWE
39,Nicolas Jackson,Chelsea,1.7,59.3,2804,35,SEN
40,Anthony Gordon,Newcastle United,1.7,48.6,2898,35,ENG
41,Alejandro Garnacho,Manchester United,1.7,43.2,2573,36,ARG
42,Tom Cairney,Fulham,1.6,83.9,1475,34,SCO
43,John McGinn,Aston Villa,1.6,66.7,3009,35,SCO
44,Jack Grealish,Manchester City,1.6,62.1,1003,20,ENG
45,Ryan Christie,Bournemouth,1.6,55.4,2918,37,SCO
46,Jean-Ricner Bellegarde,Wolverhampton Wanderers,1.6,50.0,958,22,HAI
47,James McAtee,Sheffield United,1.6,38.8,1828,31,ENG
48,Giovani Lo Celso,Tottenham Hotspur,1.5,72.7,495,22,ARG
49,Nélson Semedo,Wolverhampton Wanderers,1.5,63.7,3092,36,POR
50,Alex Iwobi,Fulham,1.5,54.8,2342,32,NGA
