Rank,Player,Team,Goals Conceded per 90,Total Goals Conceded,Minutes,Matches,Country
1,Wesley Foderingham,Sheffield United,2.7,79.0,2648,30,ENG
2,Thomas Kaminski,Luton Town,2.2,85.0,3406,38,BEL
3,James Trafford,Burnley,2.2,62.0,2520,28,ENG
4,Martin Dubravka,Newcastle United,1.9,42.0,1984,23,SVK
5,Alphonse Areola,West Ham United,1.8,53.0,2699,31,FRA
6,Mark Flekken,Brentford,1.7,63.0,3285,37,NED
7,José Sá,Wolverhampton Wanderers,1.7,58.0,3038,35,POR
8,Neto,Bournemouth,1.7,55.0,2880,32,BRA
9,Djordje Petrovic,Chelsea,1.7,38.0,1986,23,SRB
10,Bernd Leno,Fulham,1.6,61.0,3420,38,GER
10,Guglielmo Vicario,Tottenham Hotspur,1.6,61.0,3420,38,ITA
12,Andre Onana,Manchester United,1.5,58.0,3420,38,CMR
13,Emiliano Martinez,Aston Villa,1.4,48.0,3015,34,ARG
14,Sam Johnstone,Crystal Palace,1.4,27.0,1797,20,ENG
15,Jordan Pickford,Everton,1.3,51.0,3420,38,ENG
16,Bart Verbruggen,Brighton and Hove Albion,1.3,28.0,1890,21,NED
17,Alisson Becker,Liverpool,1.1,30.0,2520,28,BRA
18,Ederson Moraes,Manchester City,0.9,27.0,2788,33,BRA
19,David Raya,Arsenal,0.8,24.0,2880,32,ESP
