Rank,Player,Team,Shots on Target per 90,Shot Accuracy (%),Minutes,Matches,Country
1,Erling Haaland,Manchester City,2.1,48.8,2556,31,NOR
2,Mohamed Salah,Liverpool,2.0,49.1,2535,32,EGY
3,Darwin Nunez,Liverpool,2.0,42.6,2046,36,URU
4,Callum Wilson,Newcastle United,1.9,60.0,985,20,ENG
5,Ansu Fati,Brighton and Hove Albion,1.9,42.3,513,19,ESP
6,Alexander Isak,Newcastle United,1.7,55.1,2265,30,SWE
7,Diogo Jota,Liverpool,1.6,48.8,1150,21,POR
8,Cole Palmer,Chelsea,1.6,42.2,2624,34,ENG
9,Phil Foden,Manchester City,1.5,45.7,2865,35,ENG
10,Eberechi Eze,Crystal Palace,1.5,41.0,2065,27,ENG
11,Richarlison,Tottenham Hotspur,1.5,40.3,1492,28,BRA
12,Rodrigo Muniz,Fulham,1.5,37.0,1597,26,BRA
13,Michael Olise,Crystal Palace,1.5,36.8,1277,19,FRA
14,Matheus Cunha,Wolverhampton Wanderers,1.4,52.1,2453,32,BRA
15,Keane Lewis-Potter,Brentford,1.4,51.2,1441,30,ENG
16,Harvey Barnes,Newcastle United,1.4,44.4,794,21,ENG
17,Julián Álvarez,Manchester City,1.4,40.8,2657,36,ARG
18,Jhon Duran,Aston Villa,1.4,35.0,462,23,COL
19,Evan Ferguson,Brighton and Hove Albion,1.3,60.6,1365,27,IRL
20,Chris Wood,Nottingham Forest,1.3,54.2,1806,31,NZL
21,Nicolas Jackson,Chelsea,1.3,51.2,2804,35,SEN
22,Neal Maupay,Brentford,1.3,47.6,1424,31,FRA
23,Antoine Semenyo,Bournemouth,1.3,44.3,2111,33,GHA
24,Ollie Watkins,Aston Villa,1.3,43.9,3221,37,ENG
25,Dominic Calvert-Lewin,Everton,1.3,42.5,2185,32,ENG
26,Cody Gakpo,Liverpool,1.3,36.4,1644,35,NED
27,Oliver McBurnie,Sheffield United,1.2,51.5,1283,21,SCO
28,Heung-Min Son,Tottenham Hotspur,1.2,47.1,2946,35,KOR
29,Bruno Fernandes,Manchester United,1.2,43.2,3119,35,POR
30,Leandro Trossard,Arsenal,1.2,36.7,1646,34,BEL
31,Jacob Bruun Larsen,Burnley,1.2,36.4,1248,32,DEN
32,Gabriel Jesus,Arsenal,1.2,34.5,1482,27,BRA
33,Luis Sinisterra,Bournemouth,1.2,33.3,692,20,COL
34,Beto,Everton,1.2,30.2,939,30,POR
35,Jean-Philippe Mateta,Crystal Palace,1.1,63.0,2283,35,FRA
36,Giovani Lo Celso,Tottenham Hotspur,1.1,46.2,495,22,ARG
