Rank,Player,Team,Penalties Conceded,Total Matches,Minutes,Matches,Country
1,Issa Diop,Fulham,3.0,18.0,1425,18,FRA
2,Lorenz Assignon,Burnley,2.0,15.0,1237,15,FRA
3,Tim Ream,Fulham,2.0,18.0,1504,18,USA
4,Martin Dubravka,Newcastle United,2.0,23.0,1984,23,SVK
5,Adam Smith,Bournemouth,2.0,28.0,2156,28,ENG
6,Alphonse Areola,West Ham United,2.0,31.0,2699,31,FRA
7,Vitinho,Burnley,2.0,32.0,2316,32,BRA
8,Cristian Romero,Tottenham Hotspur,2.0,33.0,2792,33,ARG
9,Joao Gomes,Wolverhampton Wanderers,2.0,34.0,2658,34,BRA
10,Nélson Semedo,Wolverhampton Wanderers,2.0,36.0,3092,36,POR
11,Declan Rice,Arsenal,2.0,38.0,3230,38,ENG
12,Mark Travers,Bournemouth,1.0,4.0,360,4,IRL
13,Paul Dummett,Newcastle United,1.0,5.0,18,5,WAL
14,John Egan,Sheffield United,1.0,6.0,484,6,IRL
15,Fabio Silva,Wolverhampton Wanderers,1.0,8.0,261,8,POR
15,Fred Onyedinma,Luton Town,1.0,8.0,407,8,NGA
17,Michael Keane,Everton,1.0,9.0,438,9,ENG
17,Tom Davies,Sheffield United,1.0,9.0,214,9,ENG
19,Mason Holgate,Sheffield United,1.0,10.0,713,10,ENG
20,Joe Rothwell,Bournemouth,1.0,11.0,381,11,ENG
21,Jack Hinshelwood,Brighton and Hove Albion,1.0,12.0,870,12,ENG
21,Kalvin Phillips,West Ham United,1.0,12.0,396,12,ENG
23,Ameen Al Dakhil,Burnley,1.0,13.0,1055,13,BEL
24,Aaron Ramsey,Burnley,1.0,14.0,524,14,ENG
24,Gonzalo Montiel,Nottingham Forest,1.0,14.0,802,14,ARG
24,Kenny Tete,Fulham,1.0,14.0,868,14,NED
24,Tom Lockyer,Luton Town,1.0,14.0,1171,14,WAL
28,Ben Godfrey,Everton,1.0,15.0,1122,15,ENG
28,James Milner,Brighton and Hove Albion,1.0,15.0,778,15,ENG
30,Jarell Quansah,Liverpool,1.0,17.0,1189,17,ENG
30,Sven Botman,Newcastle United,1.0,17.0,1378,17,NED
32,Benoit Badiashile,Chelsea,1.0,18.0,1337,18,FRA
33,Tariq Lamptey,Brighton and Hove Albion,1.0,19.0,912,19,GHA
34,Max Aarons,Bournemouth,1.0,20.0,1234,20,ENG
34,Sam Johnstone,Crystal Palace,1.0,20.0,1797,20,ENG
36,Marc Cucurella,Chelsea,1.0,21.0,1784,21,ESP
36,Nayef Aguerd,West Ham United,1.0,21.0,1859,21,MAR
38,Aaron Wan-Bissaka,Manchester United,1.0,22.0,1781,22,ENG
38,Giovani Lo Celso,Tottenham Hotspur,1.0,22.0,495,22,ARG
38,Ola Aina,Nottingham Forest,1.0,22.0,1700,22,NGA
38,Reece Burke,Luton Town,1.0,22.0,1663,22,ENG
42,Lloyd Kelly,Bournemouth,1.0,23.0,1556,23,ENG
43,Casemiro,Manchester United,1.0,25.0,1985,25,BRA
43,Sergio Reguilon,Brentford,1.0,25.0,1534,25,ESP
45,Chris Richards,Crystal Palace,1.0,26.0,2091,26,USA
46,Eberechi Eze,Crystal Palace,1.0,27.0,2065,27,ENG
46,Malo Gusto,Chelsea,1.0,27.0,1755,27,FRA
46,Micky van de Ven,Tottenham Hotspur,1.0,27.0,2342,27,NED
46,Oliver Norwood,Sheffield United,1.0,27.0,1433,27,NIR
50,Enzo Fernández,Chelsea,1.0,28.0,2214,28,ARG
50,Jan Paul van Hecke,Brighton and Hove Albion,1.0,28.0,2368,28,NED
52,Antony,Manchester United,1.0,29.0,1323,29,BRA
52,Calvin Bassey,Fulham,1.0,29.0,2301,29,NGA
52,Danilo,Nottingham Forest,1.0,29.0,1796,29,BRA
52,Hee-Chan Hwang,Wolverhampton Wanderers,1.0,29.0,2124,29,KOR
52,Matty Cash,Aston Villa,1.0,29.0,2142,29,POL
57,Amadou Onana,Everton,1.0,30.0,2090,30,BEL
57,Rasmus Højlund,Manchester United,1.0,30.0,2169,30,DEN
57,Ruben Dias,Manchester City,1.0,30.0,2557,30,POR
57,Teden Mengi,Luton Town,1.0,30.0,2470,30,ENG
61,Ashley Young,Everton,1.0,31.0,2288,31,ENG
61,Chris Wood,Nottingham Forest,1.0,31.0,1806,31,NZL
61,Edson Álvarez,West Ham United,1.0,31.0,2383,31,MEX
64,Abdoulaye Doucouré,Everton,1.0,32.0,2637,32,MLI
64,Auston Trusty,Sheffield United,1.0,32.0,2572,32,USA
64,Scott McTominay,Manchester United,1.0,32.0,1891,32,SCO
67,Daniel Burn,Newcastle United,1.0,33.0,2732,33,ENG
67,Ederson Moraes,Manchester City,1.0,33.0,2788,33,BRA
67,Joao Palhinha,Fulham,1.0,33.0,2709,33,POR
67,Josh Brownhill,Burnley,1.0,33.0,2251,33,ENG
67,Kurt Zouma,West Ham United,1.0,33.0,2838,33,FRA
67,Lewis Dunk,Brighton and Hove Albion,1.0,33.0,2872,33,ENG
67,Mohammed Kudus,West Ham United,1.0,33.0,2483,33,GHA
67,Rayan Ait Nouri,Wolverhampton Wanderers,1.0,33.0,2344,33,ALG
75,Ezri Konsa,Aston Villa,1.0,35.0,3073,35,ENG
75,Heung-Min Son,Tottenham Hotspur,1.0,35.0,2946,35,KOR
75,Jarrad Branthwaite,Everton,1.0,35.0,3117,35,ENG
75,Moisés Caicedo,Chelsea,1.0,35.0,2872,35,ECU
75,Pedro Porro,Tottenham Hotspur,1.0,35.0,3092,35,ESP
75,Phil Foden,Manchester City,1.0,35.0,2865,35,ENG
81,Dejan Kulusevski,Tottenham Hotspur,1.0,36.0,2763,36,SWE
81,Diogo Dalot,Manchester United,1.0,36.0,3173,36,POR
81,Emerson,West Ham United,1.0,36.0,3142,36,ITA
81,Gustavo Hamer,Sheffield United,1.0,36.0,2923,36,NED
81,Pascal Gross,Brighton and Hove Albion,1.0,36.0,3114,36,GER
81,Vinicius de Souza Costa,Sheffield United,1.0,36.0,2672,36,BRA
81,Vladimir Coufal,West Ham United,1.0,36.0,3136,36,CZE
88,Mark Flekken,Brentford,1.0,37.0,3285,37,NED
88,Ryan Christie,Bournemouth,1.0,37.0,2918,37,SCO
88,Tomas Soucek,West Ham United,1.0,37.0,2874,37,CZE
91,Andre Onana,Manchester United,1.0,38.0,3420,38,CMR
91,James Tarkowski,Everton,1.0,38.0,3419,38,ENG
91,Jordan Pickford,Everton,1.0,38.0,3420,38,ENG
91,Max Kilman,Wolverhampton Wanderers,1.0,38.0,3420,38,ENG
91,William Saliba,Arsenal,1.0,38.0,3420,38,FRA
