Rank,Player,Team,Red Cards,Yellow Cards,Minutes,Matches,Country
1,Yves Bissouma,Tottenham Hotspur,2.0,9.0,2081,28,MLI
2,Oliver McBurnie,Sheffield United,2.0,3.0,1283,21,SCO
3,Reece James,Chelsea,2.0,0.0,421,10,ENG
4,Nélson Semedo,Wolverhampton Wanderers,1.0,11.0,3092,36,POR
5,Anthony Gordon,Newcastle United,1.0,10.0,2898,35,ENG
5,Mario Lemina,Wolverhampton Wanderers,1.0,10.0,2974,35,GAB
7,Anel Ahmedhodzic,Sheffield United,1.0,9.0,2649,31,BIH
7,John McGinn,Aston Villa,1.0,9.0,3009,35,SCO
9,Billy Gilmour,Brighton and Hove Albion,1.0,8.0,2125,30,SCO
9,Rodri,Manchester City,1.0,8.0,2938,34,ESP
9,Sander Berge,Burnley,1.0,8.0,3005,37,NOR
12,Alexis Mac Allister,Liverpool,1.0,7.0,2609,33,ARG
12,Boubacar Kamara,Aston Villa,1.0,7.0,1659,20,FRA
12,Conor Gallagher,Chelsea,1.0,7.0,3135,37,ENG
12,Cristian Romero,Tottenham Hotspur,1.0,7.0,2792,33,ARG
12,Jordan Ayew,Crystal Palace,1.0,7.0,2549,35,GHA
12,Lewis Dunk,Brighton and Hove Albion,1.0,7.0,2872,33,ENG
12,Malo Gusto,Chelsea,1.0,7.0,1755,27,FRA
12,Sergio Reguilon,Brentford,1.0,7.0,1534,25,ESP
20,Ashley Young,Everton,1.0,5.0,2288,31,ENG
20,Dara O'Shea,Burnley,1.0,5.0,2894,33,IRL
20,Destiny Udogie,Tottenham Hotspur,1.0,5.0,2398,28,ITA
20,Lewis Cook,Bournemouth,1.0,5.0,2792,33,ENG
20,Vladimir Coufal,West Ham United,1.0,5.0,3136,36,CZE
25,Calvin Bassey,Fulham,1.0,4.0,2301,29,NGA
25,Diogo Dalot,Manchester United,1.0,4.0,3173,36,POR
25,Josh Brownhill,Burnley,1.0,4.0,2251,33,ENG
25,Milos Kerkez,Bournemouth,1.0,4.0,1975,28,HUN
29,Connor Roberts,Burnley,1.0,3.0,819,14,WAL
29,Curtis Jones,Liverpool,1.0,3.0,1167,23,ENG
29,Ibrahima Konaté,Liverpool,1.0,3.0,1571,22,FRA
29,Lorenz Assignon,Burnley,1.0,3.0,1237,15,FRA
29,Mason Holgate,Sheffield United,1.0,3.0,713,10,ENG
29,Moussa Niakhaté,Nottingham Forest,1.0,3.0,1457,21,SEN
29,Philip Billing,Bournemouth,1.0,3.0,1393,29,DEN
29,Raul Jiménez,Fulham,1.0,3.0,1402,24,MEX
29,Virgil van Dijk,Liverpool,1.0,3.0,3178,36,NED
38,Issa Diop,Fulham,1.0,2.0,1425,18,FRA
38,Manuel Akanji,Manchester City,1.0,2.0,2513,30,SUI
38,Naouirou Ahamada,Crystal Palace,1.0,2.0,333,20,FRA
38,Tim Ream,Fulham,1.0,2.0,1504,18,USA
42,Ben Mee,Brentford,1.0,1.0,1276,16,ENG
42,Diogo Jota,Liverpool,1.0,1.0,1150,21,POR
42,Kalvin Phillips,West Ham United,1.0,1.0,396,12,ENG
42,Mahmoud Dahoud,Brighton and Hove Albion,1.0,1.0,454,9,SYR
42,Nayef Aguerd,West Ham United,1.0,1.0,1859,21,MAR
42,Willy Boly,Nottingham Forest,1.0,1.0,1443,20,CIV
48,Anass Zaroury,Burnley,1.0,0.0,148,6,MAR
48,Fabio Vieira,Arsenal,1.0,0.0,292,11,POR
48,Jean-Ricner Bellegarde,Wolverhampton Wanderers,1.0,0.0,958,22,HAI
48,Joe Worrall,Nottingham Forest,1.0,0.0,439,7,ENG
48,Lyle Foster,Burnley,1.0,0.0,1906,24,RSA
48,Matheus Nunes,Wolverhampton Wanderers,1.0,0.0,833,19,POR
48,Rhian Brewster,Sheffield United,1.0,0.0,339,13,ENG
48,Takehiro Tomiyasu,Arsenal,1.0,0.0,1143,22,JPN
