Rank,Player,Team,Saves per 90,Total Saves,Minutes,Matches,Country
1,Alphonse Areola,West Ham United,4.6,138.0,2699,31,FRA
2,Wesley Foderingham,Sheffield United,4.5,133.0,2648,30,ENG
3,José Sá,Wolverhampton Wanderers,4.0,134.0,3038,35,POR
4,Martin Dubravka,Newcastle United,4.0,88.0,1984,23,SVK
5,Andre Onana,Manchester United,3.9,149.0,3420,38,CMR
6,Thomas Kaminski,Luton Town,3.8,145.0,3406,38,BEL
7,James Trafford,Burnley,3.8,106.0,2520,28,ENG
8,Neto,Bournemouth,3.6,115.0,2880,32,BRA
9,Bernd Leno,Fulham,3.5,134.0,3420,38,GER
10,Djordje Petrovic,Chelsea,3.4,75.0,1986,23,SRB
11,Jordan Pickford,Everton,3.2,121.0,3420,38,ENG
12,Mark Flekken,Brentford,3.2,115.0,3285,37,NED
13,Bart Verbruggen,Brighton and Hove Albion,3.1,65.0,1890,21,NED
14,Alisson Becker,Liverpool,3.0,83.0,2520,28,BRA
15,Guglielmo Vicario,Tottenham Hotspur,2.9,110.0,3420,38,ITA
16,Emiliano Martinez,Aston Villa,2.8,95.0,3015,34,ARG
17,Sam Johnstone,Crystal Palace,2.1,41.0,1797,20,ENG
18,Ederson Moraes,Manchester City,1.8,57.0,2788,33,BRA
19,David Raya,Arsenal,1.4,46.0,2880,32,ESP
