Rank,Player,Team,Tackles per 90,Tackle Success Rate (%),Minutes,Matches,Country
1,Boubacar Traore,Wolverhampton Wanderers,2.6,65.7,804,24,MLI
2,Vinicius de Souza Costa,Sheffield United,2.6,60.8,2672,36,BRA
3,Casemiro,Manchester United,2.5,67.5,1985,25,BRA
4,Joao Gomes,Wolverhampton Wanderers,2.5,57.8,2658,34,BRA
5,Joao Palhinha,Fulham,2.5,49.3,2709,33,POR
6,Naouirou Ahamada,Crystal Palace,2.4,69.2,333,20,FRA
7,Giovani Lo Celso,Tottenham Hotspur,2.4,59.1,495,22,ARG
8,Joel Veltman,Brighton and Hove Albion,2.3,75.9,1582,27,NED
9,Saman Ghoddos,Brentford,2.3,67.9,729,19,IRN
10,Nathan Patterson,Everton,2.2,70.6,999,20,SCO
11,Yves Bissouma,Tottenham Hotspur,2.2,65.0,2081,28,MLI
12,Cauley Woodrow,Luton Town,2.2,62.5,409,24,ENG
13,Neco Williams,Nottingham Forest,2.2,58.0,1634,26,WAL
14,Idrissa Gana Gueye,Everton,2.1,60.3,1892,25,SEN
15,Dango Ouattara,Bournemouth,2.0,60.0,1220,30,BFA
16,Nicolás Dominguez,Nottingham Forest,2.0,54.0,1503,26,ARG
17,Joelinton,Newcastle United,1.9,69.2,1282,20,BRA
18,Emerson Royal,Tottenham Hotspur,1.9,66.7,1155,22,BRA
19,Frank Onyeka,Brentford,1.9,64.9,1155,26,NGA
20,Emerson,West Ham United,1.9,64.2,3142,36,ITA
21,Marc Cucurella,Chelsea,1.9,61.3,1784,21,ESP
22,Alexis Mac Allister,Liverpool,1.9,55.6,2609,33,ARG
23,Pedro Porro,Tottenham Hotspur,1.8,69.2,3092,35,ESP
24,Mario Lemina,Wolverhampton Wanderers,1.8,64.4,2974,35,GAB
25,Willy Boly,Nottingham Forest,1.8,63.0,1443,20,CIV
26,Christian Nørgaard,Brentford,1.8,61.7,2513,31,DEN
27,Ryan Yates,Nottingham Forest,1.8,59.1,1986,35,ENG
28,Mikkel Damsgaard,Brentford,1.8,58.6,835,23,DEN
29,Mohammed Kudus,West Ham United,1.7,72.3,2483,33,GHA
30,Hugo Bueno,Wolverhampton Wanderers,1.7,66.7,730,22,ESP
31,Amari'i Bell,Luton Town,1.7,66.0,1722,21,JAM
32,Rayan Ait Nouri,Wolverhampton Wanderers,1.7,62.0,2344,33,ALG
33,Tyrick Mitchell,Crystal Palace,1.7,57.1,3208,37,ENG
34,Elliot Anderson,Newcastle United,1.6,75.0,1022,21,SCO
35,Lucas Paquetá,West Ham United,1.6,67.6,2634,31,BRA
36,Boubacar Kamara,Aston Villa,1.6,67.4,1659,20,FRA
37,Oliver Skipp,Tottenham Hotspur,1.6,66.7,694,21,ENG
38,Joseph Gomez,Liverpool,1.6,66.0,1779,32,ENG
38,Ola Aina,Nottingham Forest,1.6,66.0,1700,22,NGA
40,Oliver Norwood,Sheffield United,1.6,63.4,1433,27,NIR
41,Jeffrey Schlupp,Crystal Palace,1.6,63.2,1355,29,GHA
42,Antonee Robinson,Fulham,1.6,62.4,3270,37,USA
43,Oleksandr Zinchenko,Arsenal,1.6,60.0,1722,27,UKR
44,Will Hughes,Crystal Palace,1.6,54.1,1899,30,ENG
45,Amadou Onana,Everton,1.6,53.5,2090,30,BEL
46,Luis Sinisterra,Bournemouth,1.6,52.2,692,20,COL
47,Sergio Reguilon,Brentford,1.6,48.3,1534,25,ESP
