Rank,Team,Possession Won Final 3rd per Match,Total Possessions Won,Matches,Country
1,Manchester City,7.5,787.0,38,ENG
2,Arsenal,6.7,820.0,38,ENG
3,Tottenham Hotspur,6.5,813.0,38,ENG
4,Liverpool,6.1,999.0,38,ENG
5,Everton,5.8,879.0,38,ENG
6,Chelsea,5.7,733.0,38,ENG
7,AFC Bournemouth,5.4,901.0,38,ENG
8,Crystal Palace,5.1,802.0,38,ENG
9,Newcastle United,5.1,790.0,38,ENG
10,Manchester United,5.1,777.0,38,ENG
11,Brentford,4.8,798.0,38,ENG
12,Brighton & Hove Albion,4.7,797.0,38,ENG
13,Wolverhampton Wanderers,4.4,784.0,38,ENG
14,West Ham United,4.3,751.0,38,ENG
15,Luton Town,4.2,765.0,38,ENG
16,Aston Villa,4.1,632.0,38,ENG
17,Burnley,4.0,776.0,38,ENG
18,Fulham,4.0,775.0,38,ENG
19,Nottingham Forest,3.4,682.0,38,ENG
20,Sheffield United,3.2,639.0,38,ENG
