Rank,Team,Red Cards,Yellow Cards,Matches,Country
1,Burnley,7.0,71.0,38,ENG
2,Sheffield United,5.0,95.0,38,ENG
3,Liverpool,5.0,65.0,38,ENG
4,Chelsea,4.0,105.0,38,ENG
5,Wolverhampton Wanderers,4.0,100.0,38,ENG
6,Tottenham Hotspur,4.0,89.0,38,ENG
7,Fulham,4.0,78.0,38,ENG
8,Brighton & Hove Albion,3.0,91.0,38,ENG
9,AFC Bournemouth,3.0,79.0,38,ENG
10,Nottingham Forest,3.0,78.0,38,ENG
11,West Ham United,3.0,76.0,38,ENG
12,Aston Villa,2.0,94.0,38,ENG
13,Brentford,2.0,89.0,38,ENG
14,Crystal Palace,2.0,69.0,38,ENG
15,Arsenal,2.0,62.0,38,ENG
16,Manchester City,2.0,52.0,38,ENG
17,Manchester United,1.0,81.0,38,ENG
18,Everton,1.0,80.0,38,ENG
19,Newcastle United,1.0,77.0,38,ENG
