Rank,Team,Yellow Cards,Red Cards,Matches,Country
1,Chelsea,105.0,4.0,38,ENG
2,Wolverhampton Wanderers,100.0,4.0,38,ENG
3,Sheffield United,95.0,5.0,38,ENG
4,Aston Villa,94.0,2.0,38,ENG
5,Brighton & Hove Albion,91.0,3.0,38,ENG
6,Tottenham Hotspur,89.0,4.0,38,ENG
7,Brentford,89.0,2.0,38,ENG
8,Manchester United,81.0,1.0,38,ENG
9,Everton,80.0,1.0,38,ENG
10,AFC Bournemouth,79.0,3.0,38,ENG
11,Fulham,78.0,4.0,38,ENG
12,Nottingham Forest,78.0,3.0,38,ENG
13,Newcastle United,77.0,1.0,38,ENG
14,West Ham United,76.0,3.0,38,ENG
15,Burnley,71.0,7.0,38,ENG
16,Luton Town,71.0,0.0,38,ENG
17,Crystal Palace,69.0,2.0,38,ENG
18,Liverpool,65.0,5.0,38,ENG
19,Arsenal,62.0,2.0,38,ENG
20,Manchester City,52.0,2.0,38,ENG
