Rank,Team,Touches in Opposition Box,Matches,Country
1,Arsenal,1587.0,38,ENG
2,Manchester City,1573.0,38,ENG
3,Liverpool,1513.0,38,ENG
4,Tottenham Hotspur,1403.0,38,ENG
5,Newcastle United,1178.0,38,ENG
6,Brighton & Hove Albion,1158.0,38,ENG
7,Chelsea,1127.0,38,ENG
8,Manchester United,1109.0,38,ENG
9,AFC Bournemouth,1101.0,38,ENG
10,Aston Villa,1078.0,38,ENG
11,Brentford,1031.0,38,ENG
12,Fulham,891.0,38,ENG
13,Burnley,871.0,38,ENG
14,Everton,845.0,38,ENG
15,Crystal Palace,840.0,38,ENG
16,Luton Town,830.0,38,ENG
17,Nottingham Forest,824.0,38,ENG
18,West Ham United,800.0,38,ENG
19,Wolverhampton Wanderers,795.0,38,ENG
20,Sheffield United,694.0,38,ENG
