idx,name,played,wins,draws,losses,scoresStr,goalConDiff,pts
1,Manchester City,19,14,2,3,45-18,27,44
2,Arsenal,19,13,3,3,43-13,30,42
3,Liverpool,19,9,7,3,37-24,13,34
4,Aston Villa,19,8,4,7,28-33,-5,28
5,Tottenham Hotspur,19,7,6,6,36-34,2,27
6,Manchester United,19,8,3,8,26-30,-4,27
7,Chelsea,19,7,5,7,33-37,-4,26
8,West Ham United,19,7,2,10,29-46,-17,23
9,Crystal Palace,19,5,6,8,20-32,-12,21
10,AFC Bournemouth,19,6,3,10,27-39,-12,21
11,Newcastle United,19,6,2,11,36-40,-4,20
12,Wolverhampton Wanderers,19,5,4,10,24-35,-11,19
13,Brighton & Hove Albion,19,4,6,9,25-35,-10,18
14,Fulham,19,4,6,9,24-37,-13,18
15,Brentford,19,5,2,12,27-31,-4,17
16,Burnley,19,3,5,11,22-35,-13,14
17,Everton,19,5,5,9,18-33,-15,12
18,Nottingham Forest,19,4,4,11,22-37,-15,12
19,Luton Town,19,2,4,13,24-48,-24,10
20,Sheffield United,19,1,3,15,16-47,-31,6
